model,policy_stem,segment_id,fold_id,gold_labels,predicted_labels,error_type,near_threshold,text,failure_type,notes,taxonomy_version
naive_bayes,1099_enthusiastnetwork.com,3,4,Data Collection|Other/Unclear,Data Collection,false_negative,False,"Information Collected Automatically. Our websites automatically collect certain information, such as your IP address, browser type, domain name, access times and referring website address. This helps facilitate your online experience at our websites. See Sections IV and V of this Privacy Policy for more detail on cookies, web beacons, and other information collected automatically by our websites.",multi_label_under_prediction,Kept Data Collection but missed secondary label(s) Other/Unclear.,1.0
naive_bayes,919_uh.edu,3,1,Data Collection|Third-Party Sharing,Data Collection,false_negative,False,"If you send us an electronic mail message with a question or comment that contains personally identifying information, or fill out a form that sends us this information, we will only use the personally-identifiable information to respond to your request and analyze trends. We may redirect your message to another government agency or person who is in a better position to answer your question.",multi_label_under_prediction,Kept Data Collection but missed secondary label(s) Third-Party Sharing.,1.0
naive_bayes,1300_bankofamerica.com,6,2,Data Collection|Other/Unclear,Data Collection,false_negative,False,"Collecting and Using Information Personal Information We Collect Online Personal Information means personally identifiable information such as information you provide via forms, surveys, applications or other online fields including name, postal or email addresses, telephone, fax or mobile numbers, or account numbers.",multi_label_under_prediction,Kept Data Collection but missed secondary label(s) Other/Unclear.,1.0
naive_bayes,1300_bankofamerica.com,27,2,Data Collection|Other/Unclear,Data Collection,false_negative,False,"Other technologies including pixel tags, web beacons, and clear GIFs: These may be used in connection with some Site pages, downloadable mobile applications and HTML-formatted email messages to measure the effectiveness of our communications, the success of our marketing campaigns, to compile statistics about usage and response rates, to personalize/tailor your experience while engaging with us online and offline, for fraud detection and prevention, for security purposes, for advertising, and to assist us in resolving account holders questions regarding use of our Site. Please see our Advertising section below for more information regarding our use of other technologies.",multi_label_under_prediction,Kept Data Collection but missed secondary label(s) Other/Unclear.,1.0
naive_bayes,1300_bankofamerica.com,9,2,Data Collection,,false_negative,False,"to inform you about important information regarding the Site, products or services for which you apply or may be interested in applying for, or in which you are already enrolled, changes to terms, conditions, and policies and/or other administrative information;",content_ambiguity,Hedged or broad wording supports more than one reading; missing=Data Collection; extra=none.,1.0
naive_bayes,1264_citizen.org,4,1,Data Retention|Other/Unclear|Third-Party Sharing|User Control & Deletion,,false_negative,True,"Signing Up for Email Lists or E-Newsletters We do not disclose the information you enter on a sign-up page to any outside entity - except as follows: We may give consultants and organizations working with us on specific projects temporary access to such information; they will not retain the information or contact the people whose information they have access to. To stop receiving emails, complete the form at http://action.citizen.org/unsubscribe.jsp.",negation_or_permission_flip,"Permission or denial wording changes the interpretation of Third-Party Sharing; missing=Data Retention, Other/Unclear, Third-Party Sharing, User Control & Deletion; extra=none.",1.0
naive_bayes,940_internetbrands.com,74,0,Data Retention|Data Security|Other/Unclear|Third-Party Sharing,,false_negative,True,"We use third-party service providers to manage credit card and payment processing. These service providers are not permitted to store, retain, or use billing Information except for the sole purpose of credit card and payment processing on our behalf. When you enter payment information we encrypt the transmission of that information using SSL technology and do not store it on our systems.",near_threshold,"The decision is close to the 0.50 cutoff; missing=Data Retention, Data Security, Other/Unclear, Third-Party Sharing; extra=none.",1.0
naive_bayes,135_instagram.com,33,0,Data Retention|Other/Unclear,,false_negative,True,"How long we keep your User Content: Following termination or deactivation of your account, Instagram, its Affiliates, or its Service Providers may retain information (including your profile information) and User Content for a commercially reasonable time for backup, archival, and/or audit purposes. Learn more about deleting your account.",near_threshold,"The decision is close to the 0.50 cutoff; missing=Data Retention, Other/Unclear; extra=none.",1.0
naive_bayes,531_archives.gov,3,2,Data Collection|Data Retention|Data Security|Other/Unclear|Third-Party Sharing,,false_negative,True,"The orders you place for reproductions or publications on this site are processed by the National Archives Trust Fund (NATF), a division within the National Archives and Records Administration (NARA). The personal information you provide when you place an order with us may be used only to fulfill your order or to facilitate the preparation of internal statistical reports. The National Archives makes every effort to limit the number of people who have access to this personal information. The National Archives employees and authorized NATF contractors who handle credit card information must ensure that it is treated as cash and secured accordingly. Any National Archives official, employee, or contractor who willfully discloses such protected information may be subject to the sanctions included in the Privacy Act (5 U.S.C. 552a). The National Archives Trust Fund will retain your order information only as long as required by law and National Archives policy. If you have questions about the use of your information by the National Archives Trust Fund, please write to National Archives Trust Fund (NAT), 8601 Adelphi Road, College Park, MD 20740.",near_threshold,"The decision is close to the 0.50 cutoff; missing=Data Collection, Data Retention, Data Security, Other/Unclear, Third-Party Sharing; extra=none.",1.0
naive_bayes,928_stlouisfed.org,5,3,Data Collection|Data Retention,Data Collection,false_negative,True,"We may also file your comments to improve the site, or review and discard the information.",near_threshold,The decision is close to the 0.50 cutoff; missing=Data Retention; extra=none.,1.0
naive_bayes,1468_rockstargames.com,51,0,Data Retention|User Control & Deletion,,false_negative,True,"Data Retention: We will retain your personal information for as long as your account is active or as needed to provide you services. If you wish to cancel your account or request that we no longer use your personal information to provide you services contact us as described above under ""How You Can Control the Collection, Use, and/or Display of Data or Review Your Data."" If your account is inactive for a period time it may be deleted. If information is changed or deleted, we may still retain some of your information in our files to resolve disputes, enforce our user agreement, administer our services, comply with technical and legal requirements, and/or other constraints related to the security, integrity, and operation of our Online Services.",negation_or_permission_flip,"Permission or denial wording changes the interpretation of User Control & Deletion; missing=Data Retention, User Control & Deletion; extra=none.",1.0
naive_bayes,635_playstation.com,24,4,Data Collection|Data Retention|Other/Unclear,Other/Unclear,false_negative,True,"SCEA's consumer services department maintains information obtained from consumers who contact or submit an online complaint so that we may assist these customers with current or future service issues. SCEA's consumer services department may collect additional information such as credit card, personal check information, if a consumer contacts consumer services to request repair of, exchange of, or service on, a PlayStation system. Consumer Services uses this information only for payment and payment verification purposes. SCEA's consumer services department may direct consumers to the consumer services departments of other companies with whom SCEA has arranged to provide consumer service, so that the consumer receives appropriate assistance.",near_threshold,"The decision is close to the 0.50 cutoff; missing=Data Collection, Data Retention; extra=none.",1.0
naive_bayes,891_everydayhealth.com,37,0,Data Retention|Other/Unclear|Third-Party Sharing|User Control & Deletion,Other/Unclear,false_negative,False,"Keep in mind, however, that even if you delete information from your profile, we may retain your Personal Information in conformance with our data retention policy and Personal Information may remain within our databases, access logs, and other records. In addition, we are not responsible for updating or removing your Personal Information contained in the lists or databases of third parties who have been provided information as permitted by this Policy.",multi_label_under_prediction,"Kept Other/Unclear but missed secondary label(s) Data Retention, Third-Party Sharing, User Control & Deletion.",1.0
naive_bayes,591_google.com,27,1,Data Retention|Data Security|Other/Unclear|User Control & Deletion,,false_negative,False,"Accessing and updating your personal information Whenever you use our services, we aim to provide you with access to your personal information. If that information is wrong, we strive to give you ways to update it quickly or to delete it - unless we have to keep that information for legitimate business or legal purposes. When updating your personal information, we may ask you to verify your identity before we can act on your request.",content_ambiguity,"Hedged or broad wording supports more than one reading; missing=Data Retention, Data Security, Other/Unclear, User Control & Deletion; extra=none.",1.0
naive_bayes,503_buffalowildwings.com,2,1,Data Collection|Data Retention|User Control & Deletion,Data Collection,false_negative,False,"What We Collect We collect the information you affirmatively choose to provide us, such as when you provide your name, contact information, the pages you access and similar information for such purposes as purchasing products, creating an account, joining our loyalty programs, filling out a survey, entering contests, participating in promotions or electronic activities, posting comments on bulletin boards or otherwise interacting with our Sites. By accessing the Sites, you consent to receive materials and understand and acknowledge that you may receive emails and other communications from BWW. When you purchase a product from our Sites, we ask you to provide information to fulfill your order, including your name, email address, phone, shipping address, billing address and method of payment to facilitate your purchase. If you create an account through one of our Sites, this personal information will be stored by us. If you purchase products as a Site Guest, we will not store the personally identifiable information you provide.",multi_label_under_prediction,"Kept Data Collection but missed secondary label(s) Data Retention, User Control & Deletion.",1.0
naive_bayes,962_lynda.com,41,3,Data Collection|Data Retention|Other/Unclear|User Control & Deletion,,false_negative,False,"We will retain your or your childs information for as long as your account is active or as needed to provide you Services. If you wish to cancel your or your childs account or request that we no longer use your information to provide you Services contact us at support@lynda.com. We will retain and use your information as necessary to comply with our legal obligations, resolve disputes, and enforce our agreements. We will respond to your request to access within 30 days.",content_ambiguity,"Hedged or broad wording supports more than one reading; missing=Data Collection, Data Retention, Other/Unclear, User Control & Deletion; extra=none.",1.0
naive_bayes,1264_citizen.org,1,1,Data Collection|Data Retention|Third-Party Sharing,Data Collection,false_negative,False,"If you provide your name, postal address, email address, phone number, or other information via a form on the website, we may store that information and contact you about our work. Except as outlined below, we do not sell, rent, trade, or otherwise disclose to any business, organization, individual, or other outside entity information provided by people who visit or interact with the website.",negation_or_permission_flip,"Permission or denial wording changes the interpretation of Third-Party Sharing; missing=Data Retention, Third-Party Sharing; extra=none.",1.0
naive_bayes,135_instagram.com,27,0,Data Retention|Other/Unclear,Other/Unclear,false_negative,False,"Your information collected through the Service may be stored and processed in the United States or any other country in which Instagram, its Affiliates or Service Providers maintain facilities.",multi_label_under_prediction,Kept Other/Unclear but missed secondary label(s) Data Retention.,1.0
naive_bayes,1636_sidearmsports.com,19,4,Data Collection|Data Retention,Data Collection,false_negative,False,"Location Information. Some of our mobile applications can deliver content based on your current location if you choose to enable that feature of the app. If you enable the location-based feature, your current location will be stored locally on your device, which will then be used by the app. If you elect to have a location-based search saved to your history, we will store that information on our servers. If you do not enable the location-based service, or if an app does not have that feature, the app will not transmit to us, and we will not collect or store, location information.",multi_label_under_prediction,Kept Data Collection but missed secondary label(s) Data Retention.,1.0
naive_bayes,940_internetbrands.com,93,0,Data Retention|Other/Unclear|User Control & Deletion,Other/Unclear,false_negative,False,"Please note that you are not entitled to review the content of another user's account. Accordingly, if you have used our sites and services to share personal information with another user or other party, you will not be able to access,update or delete that shared information pursuant to this privacy policy. Please also note that other users may submit personal information that identifies you. You will also not be able to access, update or delete that information pursuant to this privacy policy. In either case, certain users . such as healthcare providers . may be required underHIPAA and other applicable laws or regulations to retain such information for extended periods of time.",multi_label_under_prediction,"Kept Other/Unclear but missed secondary label(s) Data Retention, User Control & Deletion.",1.0
naive_bayes,807_lodgemfg.com,30,0,Data Security|Other/Unclear,,false_negative,True,We will notify the users via email Within 7 business days,near_threshold,"The decision is close to the 0.50 cutoff; missing=Data Security, Other/Unclear; extra=none.",1.0
naive_bayes,207_reference.com,25,4,Data Security|Other/Unclear,Other/Unclear,false_negative,True,"Generally speaking, one-way hashing is a way to anonymize or hide data by transforming pieces of information into fixed strings of alphanumeric characters.",near_threshold,The decision is close to the 0.50 cutoff; missing=Data Security; extra=none.,1.0
naive_bayes,928_stlouisfed.org,18,3,Data Security|Third-Party Sharing,,false_negative,True,"We retain the services of outside contractors to provide services, including mailing list administration and our Job Opportunities pages. We require that these contractors keep information obtained through our web site secure and confidential. We also require that these contractors use personal information obtained through our web site only on behalf of the Federal Reserve.",near_threshold,"The decision is close to the 0.50 cutoff; missing=Data Security, Third-Party Sharing; extra=none.",1.0
naive_bayes,1708_foxsports.com,37,3,Data Security|Other/Unclear,Other/Unclear,false_negative,True,"8. Sensitive Information We ask that you not send us, and you not disclose, any sensitive personal information (e.g., social security numbers, information related to racial or ethnic origin, political opinions, religion or other beliefs, health, criminal background or trade union membership) on or through the FSD Services or otherwise.",near_threshold,The decision is close to the 0.50 cutoff; missing=Data Security; extra=none.,1.0
naive_bayes,70_meredith.com,52,4,Data Security|Other/Unclear|Third-Party Sharing,Data Collection|Third-Party Sharing,both,True,Email. We share our users' email addresses with service providers that send email messages and deliver targeted advertising in our emails on our behalf. These service providers may collect data about how you interact with those messages (including information about whether and when you opened a particular message or clicked on a link within a message and the device you used to do so) and analyze it in conjunction with similar information they collect when you respond to emails they send on behalf of their other clients who are not affiliated with us. They use this email response information in combination with your email address to target and optimize the delivery of emails and email advertising they send on our behalf and for their other clients. We may also provide our service providers with lists of our user email addresses that they use in a hash-encrypted form to recognize our users when they subscribe to third-party email services and send them interest-based advertising on those services. We do not authorize our email service providers to share your email address with their other clients.,cross_category_confusion,"Predicted Data Collection in place of Data Security, Other/Unclear; shared labels=Third-Party Sharing.",1.0
naive_bayes,1261_zacks.com,3,0,Data Collection|Data Security|Other/Unclear|Third-Party Sharing|User Control & Deletion,,false_negative,True,"Zacks Investment Research Opt-In Marketing List During the Zacks.com registration process, we include the contact information you provide us on the Zacks Investment Research opt-in marketing list. We ""rent"" our opt-in marketing list to outside marketers who have special offers that may be of interest to you. Please note that we ""rent"" our marketing list, but we do not sell your information to third parties. Zacks Investment Research controls the process through an agreement with an e-mail service provider, which handles the distribution of e-mails from Zacks Investment Research and its business partners. We keep tight control over our marketing list at all times. We only give outside marketers the right to send you an e-mail through our e-mail service provider. Additionally, Zacks Investment Research is selective about which companies we permit to send you an offer. Zacks will use names for Market Research Our goal is for the e-mails to be of value to you. As always, you can unsubscribe from these e-mails at any time by going to http://register.zacks.com/unisub.php.",negation_or_permission_flip,"Permission or denial wording changes the interpretation of Third-Party Sharing; missing=Data Collection, Data Security, Other/Unclear, Third-Party Sharing, User Control & Deletion; extra=none.",1.0
naive_bayes,940_internetbrands.com,76,0,Data Security|Other/Unclear,,false_negative,True,"Steps You Can Take Install malware detection programs that regularly scan your system and incoming traffic for malicious code such as computer viruses, worms, Trojan Horses and spyware. Because viruses and malware are continuously created and modified, regular malware protection software typically requires frequent updates.",near_threshold,"The decision is close to the 0.50 cutoff; missing=Data Security, Other/Unclear; extra=none.",1.0
naive_bayes,1468_rockstargames.com,6,0,Data Security|Other/Unclear,Other/Unclear,false_negative,False,"WHAT THIS PRIVACY POLICY APPLIES TO This Privacy Policy applies to the Company's Online Services, including the TRUSTe certified Company websites, mobile applications, and other services that link to it or display it. In addition, the Company may also own several other domain names that relate to its labels, feature its products, or point to its websites, and we may from time to time add new sites and services. To view a complete list of these TRUSTe certified Company sites, please click on the TRUSTe seal on this page.",multi_label_under_prediction,Kept Other/Unclear but missed secondary label(s) Data Security.,1.0
naive_bayes,517_kaleidahealth.org,23,2,Data Security|Third-Party Sharing,Third-Party Sharing,false_negative,False,"Business Associates. Kaleida Health may disclose your health information to contractors, agents and other business associates who need the information in order to assist us with obtaining payment or carrying out our business operations. For example, Kaleida Health may share your health information with a billing company that helps us to obtain payment from your insurance company. Another example is that we may share your health information with an accounting firm or law firm that provides professional advice to us about how to improve our health care services and comply with the law. If Kaleida Health does disclose your health information to a business associate, we will have a written contract to ensure that our business associate also protects the privacy of your health information.",multi_label_under_prediction,Kept Third-Party Sharing but missed secondary label(s) Data Security.,1.0
naive_bayes,940_internetbrands.com,75,0,Data Security|Other/Unclear,Other/Unclear,false_negative,False,"It is important to remember, however, that no system can guarantee 100 security at all times. Accordingly, we cannot guarantee the security of information stored on or transmitted to or from our services. We cannot assume responsibility or liability for unauthorized access to our servers and systems. When disclosing any personal or protected health information, you should remain mindful of the fact that it is potentially accessible to the public and,consequently, can be collected and used by others without your consent. Accordingly, you should consider carefully if you want to submit sensitive information that you would not want disclosed to the public and should recognize that your use of the Internet and our sites and services is solely at your risk. You are ultimately responsible for maintaining the secrecy for all your personal information, including your protected health information. Except as provided in aBusiness Associate Agreement between us and a healthcare provider, we have no responsibility or liability to anyone for the security of your personal or protected health information transmitted via the Internet.",multi_label_under_prediction,Kept Other/Unclear but missed secondary label(s) Data Security.,1.0
naive_bayes,531_archives.gov,34,2,Data Security|Other/Unclear,Other/Unclear,false_negative,False,"Please note that because we cannot guarantee the status of specific items, you use materials found in our holdings at your own risk.",multi_label_under_prediction,Kept Other/Unclear but missed secondary label(s) Data Security.,1.0
naive_bayes,1708_foxsports.com,18,3,Data Security|Other/Unclear|User Control & Deletion,Other/Unclear,false_negative,False,"In addition, FSD is not responsible for the privacy or data security practices of other organizations, such as Facebook, Tumblr, Twitter, Apple, Google, Microsoft or any other app developer, app provider, social media platform provider, operating system provider, wireless service provider, or device manufacturer, including in connection with any information you disclose to other organizations through or in connection with the FSD Services.",multi_label_under_prediction,"Kept Other/Unclear but missed secondary label(s) Data Security, User Control & Deletion.",1.0
naive_bayes,1713_latinpost.com,76,1,Data Security,,false_negative,False,"8. Protection of Information. While no data transmission over the Internet is 100% secure from intrusion, we maintain commercially reasonable physical, electronic and procedural safeguards to protect your Information. However, regardless of our efforts and the Device you use to access the Site, it is possible that third parties may unlawfully intercept or access transmissions or private communications over an unsecured transmission. We conduct financial transactions via secured transmissions but may not always secure other parts of the Site. We also limit access to the Site by our own employees to those individuals who are authorized for the proper handling of such information and any employee found violating our standards of security and confidentiality will be subject to our disciplinary processes. We request that our operational service providers follow similar standards of security and confidentiality.",content_ambiguity,Hedged or broad wording supports more than one reading; missing=Data Security; extra=none.,1.0
naive_bayes,1164_acbj.com,23,1,Data Security,,false_negative,False,"B. Moreover, if you elect to store information, such as your personally identifiable information or other Registration Information, where others may access it, we are not responsible for any loss of such information or the consequences thereof. If you lose a computer, mobile or other device, or it is stolen, that contains your personally identifiable information or other Registration Information, it is up to you to take all the steps necessary to protect yourself.",content_ambiguity,Hedged or broad wording supports more than one reading; missing=Data Security; extra=none.,1.0
naive_bayes,744_minecraft.gamepedia.com,22,0,Data Security,,false_negative,False,"What security measures do we take to safeguard your personal information? The personal information that you provide to us is stored on servers, which are located in secured facilities with restricted access, and protected by protocols and procedures designed to ensure the security of such information. In addition, we restrict access to personal information to Curse employees, independent contractors and agents who need to know this information in order to develop, operate and maintain the Curse Features. All Curse personnel who have access to this information are trained in the maintenance and security of such information. However, no server, computer or communications network or system, or data transmission over the Internet can be guaranteed to be 100% secure. As a result, while we strive to protect user information, we cannot ensure or warrant the security of any information you transmit to us or through the use of any of the Curse Features and you acknowledge and agree that you provide such information and engage in such transmissions at your own risk. Once we receive a transmission from you, we will endeavor to maintain its security on our systems.",other,No narrower taxonomy rule applies; missing=Data Security; extra=none.,1.0
naive_bayes,1300_bankofamerica.com,64,2,Other/Unclear|Third-Party Sharing|User Control & Deletion,,false_negative,True,"If you prefer that we do not use this information, you may opt out of online behavioral advertising. If you opt out, though, you may still receive generic advertising. In addition, financial advisors/Client Managers may continue to use information collected online to provide product and service information in accordance with account agreements.",negation_or_permission_flip,"Permission or denial wording changes the interpretation of User Control & Deletion; missing=Other/Unclear, Third-Party Sharing, User Control & Deletion; extra=none.",1.0
naive_bayes,807_lodgemfg.com,23,0,User Control & Deletion,Other/Unclear,both,True,Users are able to change their personal information: By emailing us By calling us By logging in to their account,cross_category_confusion,Predicted Other/Unclear in place of User Control & Deletion; shared labels=none.,1.0
naive_bayes,33_nbcuniversal.com,55,1,Other/Unclear|User Control & Deletion,Other/Unclear,false_negative,True,"10. COOKIES AND OTHER TECHNOLOGIES For more information about the use of Cookies and Other Technology on our online services (including your opt-out choices) please see the Cookies and Tracking Technologies policy. Through our Cookies and Tracking Technologies policy, we provide opt-out choices. The effect of an opt-out will be to stop targeted advertising, but it will still allow the collection of usage data for certain purposes (e.g., research, analytics and internal online services operation purposes).",negation_or_permission_flip,Permission or denial wording changes the interpretation of User Control & Deletion; missing=User Control & Deletion; extra=none.,1.0
naive_bayes,1050_honda.com,4,4,Data Collection|Other/Unclear|User Control & Deletion,Data Collection|Other/Unclear,false_negative,True,"You can visit our Web Sites without telling us who you are and without revealing any personally identifiable information to learn about American Honda, American Honda Finance Corporation (""AHFC""), our product and service information, special offers and promotions, and investor information. You can also access financial planning tools.",near_threshold,The decision is close to the 0.50 cutoff; missing=User Control & Deletion; extra=none.,1.0
naive_bayes,1261_zacks.com,9,0,Other/Unclear|User Control & Deletion,,false_negative,True,"Do Not Email Lists: If you opt out from a Zacks.com Opt-In Marketing List, Zacks Investment Research Internal List, or unsubscribe from a Zacks offer sent by another list vendor, you will be added to our Do Not Email list, and we will suppress your email address from future mailings to the Zacks Investment Research Internal List and Opt-In Marketing List, as well as any other Zacks mailings done through a third party. This process usually completes within 72 hours but can take up to 10 days in rare situations. However, if you later register for a Zacks product again, your name will be removed from the Do Not Email list.",negation_or_permission_flip,"Permission or denial wording changes the interpretation of User Control & Deletion; missing=Other/Unclear, User Control & Deletion; extra=none.",1.0
naive_bayes,807_lodgemfg.com,13,0,Third-Party Sharing,Other/Unclear|Third-Party Sharing,false_positive,True,"Third Party Disclosure We do not sell, trade, or otherwise transfer to outside parties your personally identifiable information.",near_threshold,The decision is close to the 0.50 cutoff; missing=none; extra=Other/Unclear.,1.0
naive_bayes,325_ocregister.com,8,4,Third-Party Sharing,Other/Unclear|Third-Party Sharing,false_positive,True,"How Do We Use The Information We Collect? We will not sell, share, or rent personal information to third parties, and we will not otherwise disclose personal information to third parties, without your permission, except as disclosed in this Privacy Policy.",near_threshold,The decision is close to the 0.50 cutoff; missing=none; extra=Other/Unclear.,1.0
naive_bayes,135_instagram.com,3,0,Other/Unclear|Policy Change,Other/Unclear,false_negative,False,"Our new Privacy Policy is effective on January 19, 2013. To learn about how we treat information collected prior to January 19, 2013, please click here.",multi_label_under_prediction,Kept Other/Unclear but missed secondary label(s) Policy Change.,1.0
naive_bayes,1164_acbj.com,15,1,Data Collection|Other/Unclear,Data Collection,false_negative,False,"I. We reserve the right to identify you from your Registration Information and/or to merge or co-mingle anonymous or non-personally identifiable data about you, your offline and online behavior, and/or your computer, mobile or other device (including its geographic location), with your Registration Information and/or other personally identifiable data for any lawful business purpose.",multi_label_under_prediction,Kept Data Collection but missed secondary label(s) Other/Unclear.,1.0
naive_bayes,1468_rockstargames.com,42,0,Other/Unclear|Third-Party Sharing,Data Collection|Other/Unclear,both,False,"Some of our Online Services offer SNS features and Widgets, such as the Facebook ""Like"" button, Google + button, or the Share This button. These third-party SNS features may set a cookie to enable the Feature to function properly and may collect information about you when you use them, such as your IP address and which page you are visiting on our site. SNS features and Widgets are either hosted by a third party or hosted directly by our Online Services. Your interactions with these Features are governed by the privacy policy of the company providing the Feature. Please review each company's governing policies before using their services.",cross_category_confusion,Predicted Data Collection in place of Third-Party Sharing; shared labels=Other/Unclear.,1.0
naive_bayes,523_usa.gov,16,3,Data Collection|Third-Party Sharing,Other/Unclear,both,False,"Social Media Sites While USA.gov manages presence on social media sites (e.g., Facebook, Twitter, YouTube) in order to share government information and engage with the public, we do not collect any Personally Identifiable Information through those sites. We also do not use personal information made available by the user to these third-party sites.",negation_or_permission_flip,"Permission or denial wording changes the interpretation of Data Collection; missing=Data Collection, Third-Party Sharing; extra=Other/Unclear.",1.0
naive_bayes,26_nytimes.com,33,3,Other/Unclear|Third-Party Sharing,Data Collection|Third-Party Sharing,both,False,"These companies may place or recognize cookies, Web beacons or other technology to track certain non-personal information about our website users. For example, in the course of serving certain advertisements, an advertiser may place or recognize a unique cookie on your browser in order to collect certain information about your use of the NYT Services. For another example, an advertiser or ad server may also be able to collect your device's unique identifier in the course of serving an ad. In many cases, this information could be used to show you ads on other websites based on your interests.",cross_category_confusion,Predicted Data Collection in place of Other/Unclear; shared labels=Third-Party Sharing.,1.0
